"GEOID","Population","Housing_Units"
"060014088003",1299,503
"060014088004",2367,751
"060014089001",1678,534
"060014089002",2179,565
"060014090001",3086,672
"060014090002",0,0
"060014090003",1793,439
"060014091001",1283,347
"060014091002",1189,330
"060014092001",2170,606
"060014092002",1585,359
"060014093001",1705,542
"060014093002",1439,423
"060014093003",1568,397
"060014093004",989,273
"060014094001",1030,267
"060014094002",2708,694
"060014094003",1641,392
"060014095001",1772,470
"060014095002",1568,367
"060014095003",1050,286
"060014096001",1156,311
"060014096002",1123,338
"060014096003",940,254
"060014096004",1098,289
"060014096005",1460,393
"060014097001",1042,385
"060014097002",2104,652
"060014097003",1167,330
"060014097004",1210,382
"060014098001",817,322
"060014098002",1640,664
"060014098003",763,282
"060014099001",734,304
"060014099002",661,249
"060014099003",1259,534
"060014099004",892,338
"060014100001",950,420
"060014100002",2061,757
"060014100003",20,5
"060014101001",1355,481
"060014101002",1570,617
"060014102001",1842,634
"060014102002",942,299
"060014102003",895,301
"060014103001",1026,280
"060014103002",1265,324
"060014103003",1745,463
"060014104001",1027,303
"060014104002",1109,364
"060014104003",2006,694
"060014105001",1190,405
"060014105002",1363,510
"060014201001",969,402
"060014201002",810,307
"060014201003",657,245
"060014202001",1392,538
"060014202002",781,341
"060014202003",1061,427
"060014203011",2593,1140
"060014203021",1557,656
"060014203022",869,354
"060014204011",725,166
"060014204012",872,312
"060014204021",1001,293
"060014204022",1154,368
"060014205001",875,374
"060014205002",1556,630
"060014206001",1084,421
"060014206002",1209,485
"060014206003",1106,448
"060014211001",700,326
"060014211002",1331,553
"060014212001",713,294
"060014212002",1301,556
"060014212003",820,315
"060014212004",823,355
"060014213001",1193,495
"060014213002",1062,506
"060014213003",907,402
"060014213004",783,323
"060014214001",997,400
"060014214002",682,286
"060014215001",1354,579
"060014215002",1206,541
"060014215003",1185,529
"060014216001",975,436
"060014216002",1156,516
"060014216003",853,378
"060014216004",852,371
"060014217001",1427,712
"060014217002",809,404
"060014217003",1150,580
"060014218001",1066,491
"060014218002",1044,448
"060014219001",913,418
"060014219002",1087,513
"060014219003",991,449
"060014219004",910,413
"060014220001",2418,1112
"060014220002",1742,278
"060014221001",990,495
"060014221002",1853,877
"060014222001",1229,550
"060014222002",1007,547
"060014222003",1086,581
"060014223001",927,444
"060014223002",1473,707
"060014223003",1411,805
"060014224001",770,471
"060014224002",944,488
"060014224003",1283,678
"060014224004",1137,683
"060014225001",1196,630
"060014225002",1839,277
"060014225003",2030,876
"060014227001",842,267
"060014227002",1605,269
"060014227003",1371,354
"060014227004",1050,418
"060014228001",6113,698
"060014228002",2844,438
"060014228003",735,450
"060014228004",1553,739
"060014229011",1274,625
"060014229012",1048,629
"060014229021",1377,579
"060014229022",1019,559
"060014229023",637,283
"060014230001",1724,836
"060014230002",1483,774
"060014230003",1469,683
"060014231001",1855,934
"060014231002",724,345
"060014231003",919,416
"060014231004",837,381
"060014232001",1427,604
"060014232002",1459,648
"060014233001",1195,530
"060014233002",1440,661
"060014233003",1103,492
"060014234001",990,509
"060014234002",910,400
"060014234003",1457,592
"060014234004",1700,741
"060014235001",1428,641
"060014235002",951,416
"060014235003",1095,561
"060014236011",1590,750
"060014236012",1234,598
"060014236021",1693,935
"060014236022",1879,1004
"060014236023",2043,914
"060014237001",2031,543
"060014237002",1192,549
"060014237003",1011,472
"060014238001",655,266
"060014238002",1173,473
"060014238003",1388,710
"060014239011",1093,522
"060014239012",938,438
"060014239021",614,301
"060014239022",850,448
"060014240011",889,383
"060014240012",805,356
"060014240013",1250,454
"060014240014",1202,474
"060014240021",1304,624
"060014240022",1184,462
"060014251011",1719,1274
"060014251012",134,79
"060014251021",1166,691
"060014251022",619,381
"060014251023",1967,1252
"060014251031",854,464
"060014251032",1075,577
"060014251033",997,492
"060014251041",1839,957
"060014251042",1234,549
"060014251043",446,233
"060014251044",584,453
"060014251045",271,123
"060014261001",1071,397
"060014261002",780,269
"060014261003",1356,447
"060014261004",1091,384
"060014261005",1233,432
"060014261006",833,278
"060014262001",1636,571
"060014262002",2108,724
"060014262003",1171,450
"060014271001",1266,483
"060014271002",1344,498
"060014271003",1453,528
"060014272001",955,427
