"GEOID","Population","Housing_Units"
"060014325021",2411,776
"060014325022",1035,300
"060014325023",1195,410
"060014326011",1643,781
"060014326021",732,290
"060014326022",1293,599
"060014326023",1189,516
"060014327001",866,338
"060014327002",850,359
"060014327003",944,384
"060014328001",787,287
"060014328002",1863,704
"060014079001",875,336
"060014081001",1537,586
"060014081002",1363,690
"060014081003",956,379
"060014081004",807,399
"060014081005",2049,852
"060014082001",1375,626
"060014082002",2031,790
"060014082003",1065,422
"060014083001",836,306
"060014083002",1028,429
"060014083003",1033,424
"060014083005",948,346
"060014084001",1482,470
"060014086001",1919,634
"060014099001",734,304
"060014301021",2553,949
"060014302001",2195,787
"060014303001",1675,598
"060133452031",2873,1147
"060014301014",1193,391
"060014351031",1856,586
"060014351032",1829,612
"060014351034",2263,790
"060014505021",2503,840
"060014505022",3251,1071
"060014506012",1527,603
"060014501011",4303,1970
"060014501012",2522,965
"060014501022",1676,487
"060014502003",2271,909
"060014503001",2191,688
"060014503002",1419,591
"060014503003",1938,668
"060014504002",1575,472
"060014504003",2574,1189
"060014504004",1612,540
"060014505011",1317,456
"060014505012",1961,827
"060014506011",601,277
"060014506013",1352,478
"060014506031",1608,510
"060014506032",1653,530
"060014506033",291,94
"060014506034",1353,425
"060014506041",1247,397
"060014506042",2011,770
"060014506043",881,291
"060014506044",759,246
"060014506051",1656,602
"060014506052",945,327
"060014506053",1336,483
"060014506061",2261,776
"060014506062",1458,475
"060014506063",2307,859
"060014506071",2435,1012
"060014506072",1550,740
"060014506073",2069,805
"060014506081",1107,339
"060014506082",1814,674
"060014506083",1220,432
"060014506091",959,526
"060014506092",2071,720
"060014506093",1819,599
"060014507012",1171,434
"060014507013",810,282
"060014507431",3299,1228
"060014507432",1996,900
"060014507433",1591,673
"060014507434",2015,781
"060014301013",1962,678
"060133451022",1781,593
"060133451051",2011,696
"060133451052",1483,488
"060133451053",1121,366
"060133451054",1172,440
"060133451055",697,265
"060133451111",1785,561
"060133451113",874,271
"060133451141",1424,535
"060133451142",1337,768
"060133451143",2666,937
"060133451144",1164,384
"060133451151",2536,810
"060133451152",1701,572
"060133451153",2072,718
"060133451161",1388,436
"060133451162",1594,535
"060133451181",2701,1077
"060133452051",1469,576
"060133452052",2205,1018
"060133452053",2101,826
"060133452061",1073,370
"060133452062",2423,876
"060014501021",6984,1358
"060014502001",1663,756
"060014502002",2522,1224
"060014504001",1914,652
"060133451011",956,304
"060133451012",2158,703
"060133451013",1053,364
"060133451014",2097,805
"060133451021",1285,403
"060133451023",1160,383
"060133451031",1093,339
"060133451032",1216,406
"060133451033",2314,774
"060133451034",647,473
"060133451112",2185,869
"060133451114",1146,583
"060133451121",2081,683
"060133451122",1403,635
"060133451123",1825,561
"060133451124",3521,1143
"060133451131",1729,567
"060133451132",2898,1028
"060133451171",1089,339
"060133451172",1257,518
"060133451173",1836,892
"060133451182",1440,725
"060133462042",2248,801
"060133551131",1846,659
"060133551132",1726,579
"060133551133",1428,490
"060133551151",1880,760
"060133551152",2615,710
"060133551153",5747,2166
"060133551211",2825,818
"060133551212",2321,828
"060133551213",1907,559
"060133551221",1950,580
"060133551222",924,292
"060133551223",2132,611
"060133551231",1814,464
"060133551232",1143,294
"060133551241",1350,334
"060133551242",2286,611
"060133551243",968,259
"060133551251",2654,696
"060133551252",1607,533
"060133551261",3892,1128
"060133551262",1604,410
"060133480002",2249,768
"060133490002",1806,649
"060133490003",1202,617
"060133500001",1929,1007
"060133500002",963,326
"060133500003",1562,566
"060133500004",1770,809
"060133512003",2491,881
"060133521021",1474,507
"060133521022",970,327
"060133521023",2420,746
"060133522011",2487,1092
"060133522012",1488,479
"060133522013",2291,864
"060133522021",2559,1088
"060133530011",1472,499
"060133530013",1179,452
"060133530021",844,280
"060133530022",1489,549
"060133530023",1173,428
"060133530024",804,285
"060133540023",1721,626
"060133540024",2009,907
"060133342001",1573,569
"060133342002",1141,501
"060133342003",1568,755
"060133342004",897,311
"060133342005",825,317
"060133342006",1190,461
"060133390011",917,415
"060133390012",1647,967
"060133390013",1099,702
"060133390031",2282,1459
"060133390032",1783,1175
"060133400041",730,263
"060133410001",1705,778
"060133410002",1857,652
"060133410003",1812,747
"060133430011",1055,373
"060133430012",868,301
"060133430014",1307,610
"060133430023",632,253
"060133430032",1649,674
"060133452041",2165,782
"060133452042",1504,553
"060133461011",2478,921
"060133490001",2143,926
"060133511011",509,380
"060133511012",827,684
"060133511013",1562,1140
"060133511031",909,618
"060133511032",1204,886
"060133511041",653,542
"060133511042",753,608
"060133511043",558,446
"060133511051",776,666
"060133511052",947,791
"060133512001",1300,447
"060133512002",2162,763
"060133521011",3344,927
"060133521024",860,299
"060133211013",1903,744
"060133211014",1284,573
"060133211023",1730,616
"060133211032",1912,745
"060133211033",669,269
"060133470002",2129,809
"060133480001",730,285
"060133480003",1856,695
"060133540021",2709,997
"060133240021",2136,982
"060133240031",954,528
"060133240032",1245,773
"060133240033",924,588
"060133240042",1162,664
"060133240043",869,531
"060133250001",1327,585
"060133250002",742,284
"060133250003",1924,704
"060133250004",999,394
"060133250005",741,265
"060133260001",2296,951
"060133260002",1212,464
"060133381014",1388,585
"060133381021",987,404
"060133381022",2511,971
"060133382011",2199,823
"060133382012",1615,643
"060133382031",1227,750
"060133382032",829,430
"060133382033",968,449
"060133382034",1151,537
"060133382035",1204,589
"060133382041",1921,1002
"060133382042",1119,453
"060133382043",1416,705
"060133382044",1778,809
"060133383023",2405,908
"060133390041",2559,1499
"060133390042",1039,489
"060133400011",844,287
"060133400012",2551,1060
"060133400013",1344,572
"060133400014",1680,668
"060133400031",1040,464
"060133400032",752,278
"060133400033",1852,821
"060133400042",1525,587
"060133400043",1812,732
"060133430013",1829,949
"060133430021",2085,945
"060133430022",1923,905
"060133470001",2581,953
"060133211011",1844,743
"060133211012",1467,517
"060133211021",1178,512
"060133211022",1701,753
"060133211024",2217,914
"060133211031",2198,899
"060133212001",1621,632
"060133212002",1213,515
"060133212003",1309,632
"060133212004",1446,643
"060133220001",925,385
"060133220002",922,301
"060133220003",2039,923
"060133220004",1772,696
"060133220005",870,320
"060133230001",1198,464
"060133230002",1121,396
"060133230003",1334,558
"060133230004",969,345
"060133240022",1288,568
"060133240023",2095,1051
"060133240041",780,274
"060133270011",1343,459
"060133270012",2105,821
"060133270022",1012,292
"060133280001",805,532
"060133280002",1606,933
"060133290003",1393,491
"060133290004",1681,649
"060133350003",1017,351
"060133361011",1514,636
"060133361012",2111,642
"060133361013",1183,357
"060133361031",1969,766
"060133361032",2162,708
"060133361041",1433,476
"060133361042",1888,760
"060133362011",2032,624
"060133362012",1246,375
"060133362013",784,264
"060133362021",2641,788
"060133362022",1204,329
"060133362023",1875,602
"060133372011",866,344
"060133372012",1736,783
"060133381011",1296,368
"060133381012",738,274
"060133381013",1739,662
"060133470003",1520,617
"060133430031",2396,876
"060133452032",1122,588
"060133452033",1141,488
"060133452034",1830,725
"060133461012",1077,416
"060133461021",1962,658
"060133461022",1791,656
"060133461023",676,231
"060133461024",1319,485
"060133462031",2794,1051
"060133462032",1172,407
"060133462041",2509,850
"060133462043",1833,689
"060133462044",744,266
"060133462051",2754,994
"060133462061",1468,517
"060133462062",2128,745
"060133462052",1323,525
"060133551122",1400,516
"060133551123",2643,1047
"060133553061",952,393
"060133372024",1425,668
"060133373001",1380,504
"060133373002",1342,629
"060133373003",650,257
"060133373004",979,345
"060133373005",764,241
"060133373006",1032,384
"060133383011",1850,642
"060133383012",1213,422
"060133383021",2310,803
"060133383022",1266,488
"060133553021",971,343
"060133553022",941,341
"060133553023",1552,545
"060133553092",1539,468
"060133553093",1826,670
"060133553101",1781,741
"060133553102",1416,507
"060133300002",1814,607
"060133300003",1005,382
"060133300004",1572,622
"060133310001",840,318
"060133310002",1613,583
"060133310003",1087,392
"060133310004",1148,474
"060133310005",1365,563
"060133310006",1284,504
"060133320001",1703,662
"060133320002",1043,350
"060133320003",1141,423
"060133320004",1279,466
"060133320005",753,290
"060133320006",1069,424
"060133320007",731,257
"060133331011",993,356
"060133331012",1917,709
"060133331013",1302,458
"060133331021",1380,477
"060133331022",932,322
"060133331023",1778,776
"060133332001",804,279
"060133332002",1152,423
"060133332003",1197,444
"060133332004",1340,503
"060133332005",1468,590
"060133340011",1900,831
"060133340012",2091,760
"060133340061",1173,440
"060133340062",2467,877
"060133340063",1240,419
"060133340071",1009,455
"060133340072",1434,729
"060133340073",1424,574
"060133340081",1971,823
"060133340082",2143,811
"060133350001",1320,487
"060133350002",1126,439
"060133371001",1697,651
"060133371002",1541,600
"060133372021",924,389
"060133372022",1395,534
"060133372023",1255,433
"060133552022",2793,942
"060133132042",1536,523
"060133551073",1908,494
"060133553062",1147,392
"060133553063",1179,441
"060133553064",998,385
"060133553065",724,248
"060133553071",2180,811
"060133553072",2265,930
"060133553081",1203,410
"060133553082",1332,623
"060133553083",1015,368
"060133553091",1370,487
"060014507011",1171,388
"060014507014",2691,849
"060014507411",1963,738
"060014507412",1676,672
"060014507413",1843,683
"060014507421",1746,700
"060014507422",1504,497
"060014507423",2189,1079
"060014507441",2943,967
"060014507442",3044,1319
"060014507451",3052,979
"060014507452",1629,669
"060014507453",1693,591
"060014507461",2494,950
"060014507462",744,282
"060014507501",2358,1035
"060014507502",4432,1667
"060014507511",7867,2145
"060014507512",4544,1352
"060014513001",2996,1061
"060014513002",1621,591
"060014513003",1818,693
"060014517031",1453,496
"060014517032",2499,841
"060014511021",1166,435
"060014511022",1663,512
"060014511023",1126,425
"060014511032",1462,500
"060014511042",2721,864
"060014512011",2071,805
"060014512012",2537,977
"060014512013",1208,533
"060014512014",1455,475
"060014512023",1092,333
"060014514011",1510,699
"060014514012",2596,950
"060014514013",1947,763
"060014514031",974,351
"060014514032",1201,432
"060014514041",1854,660
"060014514042",1538,464
"060014514043",1879,610
"060014514044",1342,541
"060014515011",1626,781
"060014515012",1904,601
"060014515013",1390,550
"060014515031",2286,872
"060014515032",1005,399
"060014515033",738,272
"060014515034",1126,353
"060014515035",1365,522
"060014515041",1657,600
"060014515051",951,348
"060014515052",2226,806
"060014515061",2058,768
"060014515062",1065,343
"060014516011",1648,706
"060014516012",1737,581
"060014516013",1618,677
"060014516021",1294,736
"060014516022",1076,420
"060014516023",1842,680
"060014516024",1520,538
"060014516025",899,470
"060014517011",918,330
"060014517012",1500,511
"060014517013",852,272
"060014517041",1416,499
"060014517042",2257,791
"060014517043",899,404
"060014507521",6982,2106
"060014507522",2864,761
"060014512021",3887,1545
"060014512022",802,289
"060014511031",18,2
"060014511041",2232,761
"060133040011",2909,1395
"060133551121",1593,607
"060133071011",1466,623
"060133071012",1219,452
"060133071013",1869,663
"060133072053",1398,406
"060133072054",1948,708
"060133080014",1409,469
"060133131062",2884,1132
"060133551071",2178,764
"060133551072",1707,536
"060133551091",1374,450
"060133551092",987,298
"060133551181",2426,693
"060133551182",1876,559
"060133551191",2188,578
"060133551192",2600,694
"060133020091",2320,756
"060133020092",1326,380
"060133020093",1173,331
"060133020094",2998,854
"060133020131",2524,813
"060133020132",835,263
"060133020141",3623,986
"060133020142",2697,890
"060133020143",1586,458
"060133031042",3390,924
"060133032022",2647,821
"060133032061",2507,803
"060133032062",2193,599
"060133032071",2986,842
"060133032072",2366,766
"060133032073",1248,380
"060133032081",1274,384
"060133032082",2681,1140
"060133032091",3368,932
"060133032092",2035,578
"060133032102",1392,904
"060133040012",2839,831
"060133080012",2517,858
"060133080013",1670,547
"060133080021",2404,685
"060133080022",2089,649
"060133080023",796,273
"060133551093",2838,926
"060133551094",1968,547
"060133551101",2551,703
"060133551102",1883,548
"060133551111",2727,934
"060133551112",2029,542
"060133551113",1929,541
"060133551201",2825,810
"060133551202",1423,392
"060133020071",2928,861
"060133020073",1609,516
"060133020112",1455,455
"060133020121",2566,744
"060133020122",2782,785
"060133031041",3816,1068
"060133031051",3356,1079
"060133031061",2374,759
"060133031062",2468,797
"060133031063",2179,664
"060133031071",1754,545
"060133031072",2045,667
"060133031073",1125,366
"060133031074",2042,601
"060133032021",3696,1123
"060133032023",2782,802
"060133032041",1671,655
"060133032042",1121,384
"060133032043",2068,667
"060133032101",2423,1121
"060133032111",2640,831
"060133032112",2318,724
"060133040021",1293,434
"060133040031",1483,694
"060133040032",2067,1076
"060133040041",2431,1119
"060133040042",1190,651
"060133040061",3987,1299
"060133040071",1659,467
"060133040072",1552,473
"060133040073",1495,457
"060133150001",769,297
"060133160001",1605,561
"060133170001",1147,582
"060133170002",931,499
"060133180001",974,456
"060133180002",1214,519
"060133180003",1254,615
"060133190011",1886,862
"060133190012",2207,833
"060133190021",874,396
"060133190022",811,328
"060133190023",1778,683
"060133190024",716,273
"060133200011",1596,523
"060133200012",2030,736
"060133200031",2801,1051
"060133200041",854,321
"060133200042",1663,837
"060133200043",1491,587
"060133200044",3030,1081
"060133270021",2110,1037
"060133270023",1154,393
"060133290001",1877,638
"060133290002",1628,588
"060952520001",1246,729
"060952520002",898,513
"060952520003",983,475
"060952520004",1234,542
"060952521061",1505,550
"060952521062",1204,468
"060952521063",1413,708
"060952521071",2106,949
"060952521072",1429,499
"060952521081",1384,578
"060952521082",1683,733
"060952521021",2261,1026
"060952521022",1731,697
"060952521041",2492,873
"060952521042",1633,520
"060952521043",1856,543
"060952521051",1720,618
"060952522052",3332,891
"060952522061",2220,804
"060133090001",1503,655
"060133090003",1207,462
"060133100001",1417,468
"060133100002",1042,347
"060133100003",2203,646
"060133100004",1444,394
"060133110001",1348,382
"060133110002",2086,585
"060133110003",2234,662
"060133131041",1630,507
"060133131042",1055,558
"060133131051",2326,666
"060133131052",1953,758
"060133131053",2280,898
"060133131071",1487,433
"060133131072",1584,512
"060133132031",934,280
"060133132032",2420,743
"060133132041",2558,752
"060133132043",1610,610
"060133132051",1822,524
"060133132061",1565,410
"060133132062",1373,377
"060133132063",1847,478
"060133132064",1557,459
"060133141021",2724,798
"060133141022",1357,357
"060133141023",2731,781
"060133141031",2201,644
"060133141032",1464,413
"060133141033",1848,573
"060133141051",1864,544
"060133141052",2676,930
"060133141061",2046,613
"060133141062",1698,487
"060133142001",2237,529
"060133142002",2680,737
"060133142003",2251,575
"060133150002",2665,926
"060133300001",1196,410
"060133552011",3291,857
"060133552012",2537,820
"060133552013",3371,936
"060133552021",896,464
"060952527026",1077,338
"060952522031",723,300
"060952522032",2733,1045
"060952522033",1508,532
"060952522041",2462,731
"060952522042",2132,760
"060952522051",2784,851
"060952522053",2553,803
"060952522062",2688,861
"060952523051",1815,594
"060952523052",2390,1003
"060952523053",1879,625
"060952523061",1404,498
"060952523062",2119,806
"060952523101",1970,911
"060952523102",1097,456
"060952523111",1391,493
"060952523112",2156,814
"060952523113",1076,355
"060952523121",1763,633
"060952523122",1680,846
"060952523131",1174,566
"060952523132",1721,689
"060952523133",1432,498
"060952523141",1240,408
"060952523142",1539,502
"060952523143",1820,644
"060952524011",1192,338
"060952524012",1146,317
"060952524013",1190,387
"060952524014",1327,448
"060952524021",1320,414
"060952524022",2375,728
"060952524023",1724,645
"060952525011",969,331
"060952525012",1901,656
"060952525021",925,375
"060952525022",971,330
"060952526041",913,307
"060952526042",1651,608
"060952526043",1088,353
"060952526051",1642,576
"060952526052",1546,419
"060952526053",1458,508
"060952526054",1339,519
"060952526061",2239,767
"060952526062",1442,533
"060952526071",1465,462
"060952527021",1141,517
"060952527022",957,313
"060952527023",954,329
"060952527031",1177,343
"060952523134",1560,746
"060952523151",1220,449
"060952523152",1506,479
"060952523153",1557,513
"060952523161",1794,597
"060952523162",1828,574
"060952523171",4835,1447
"060952523172",5161,1443
"060952523173",1660,562
"060952526063",1742,526
"060952526072",2371,753
"060952526081",1824,588
"060952526082",2366,753
"060952526101",1558,533
"060952526102",1759,553
"060952526111",1375,468
"060952526112",863,253
"060952526113",1369,493
"060952527024",1774,558
"060952527025",1136,381
"060952527032",1630,510
"060952527033",1456,475
"060952527041",903,354
"060952527042",1105,306
"060952527043",1016,298
"060952527044",827,253
"060952527045",1474,573
"060952527051",1166,345
"060952527052",871,282
"060952527053",753,244
"060952527054",2007,622
"060952527055",1347,405
"060952527061",2191,627
"060952527062",1991,684
"060952527071",2468,743
"060952527072",1772,729
"060952527073",804,266
"060952528011",146,31
"060952528012",26,1
"060952528013",764,222
"060952528014",1164,407
"060952528015",535,205
"060952528021",1472,223
"060952529081",1219,356
"060952529082",1618,695
"060952529083",988,295
"060952529091",1663,572
"060952529092",2758,956
"060952529101",1451,474
"060952529102",1295,520
"060952529103",1958,652
"060952529104",1084,359
"060952529122",881,291
"060952529123",1102,426
"060952529124",1351,435
"060952529131",1261,444
"060952529132",1283,440
"060952529133",1080,392
"060952529134",1374,492
"060952529141",2762,836
"060952529142",1413,603
"060952529143",1417,479
"060952529151",1826,579
"060952529152",4492,1359
"060952530001",6640,4
"060952531012",769,313
"060952531013",870,356
"060952531014",761,279
"060952531015",1015,459
"060952531016",1110,476
"060952531052",1717,834
"060952531053",1486,477
"060952531054",1014,300
"060952531055",792,380
"060952531061",780,310
"060952531062",826,300
"060952531063",1821,727
"060952531071",1131,399
"060952531072",1786,692
"060952531073",2145,931
"060952531074",937,442
"060952531081",1796,718
"060952531082",1339,463
"060952531083",1218,436
"060959800001",4,5
"060133010001",1025,639
"060133010002",1106,605
"060133010003",2428,715
"060133010004",955,454
"060133020051",2125,928
"060133020052",1790,564
"060133020053",1877,649
"060133020054",1342,435
"060133020061",1367,441
"060133020062",2665,866
"060133020072",2875,872
"060133020111",3946,1102
"060133050001",1309,504
"060133050002",1238,425
"060133050003",1056,370
"060133050004",1870,612
"060133050005",1591,613
"060133060021",1377,509
"060133060022",2301,700
"060133060031",1689,558
"060133060032",1920,635
"060133060033",2006,632
"060133060041",2303,779
"060133060042",1364,472
"060133071021",815,265
"060133071022",1293,433
"060133071023",1830,564
"060133071024",1886,584
"060133072011",2148,598
"060133072012",1646,571
"060133072021",1574,549
"060133072022",888,339
"060133072023",1893,750
"060133072041",1466,442
"060133072042",937,304
"060133072043",2123,620
"060133072051",1526,769
"060133072052",2612,913
"060133080011",2174,750
"060133090002",989,308
"060133120001",2974,961
"060133131021",3021,1100
"060133131022",1560,470
"060133131061",2995,797
"060670098001",1209,659
"060670098002",974,652
"060952535021",1916,701
"060952535022",1462,687
"060952535023",1259,548
"060670099003",724,321
"060952535011",2886,1815
"060952535012",1845,1192
"060952535013",1596,642
"060971530021",1990,613
"060971530022",1870,512
"060971530024",1029,401
"060971530025",810,285
"060971530031",1015,373
"060971530032",964,346
"060971530033",1910,693
"060971530034",1945,684
"060971530051",965,374
"060971530054",903,332
"060971530055",1787,614
"060971530056",997,325
"060971530061",662,354
"060971530062",819,324
"060971530063",1588,561
"060971531023",1523,411
"060971531024",933,268
"060971531031",2312,678
"060971531032",1598,488
"060971531033",950,307
"060971531042",861,346
"060971531043",1085,357
"060971532011",2620,739
"060971532021",917,297
"060971532023",876,304
"060971533011",1039,340
"060971533012",1510,506
"060971533013",3040,955
"060971533014",1033,422
"060971533021",1893,569
"060971533022",2411,736
"060971533023",1307,312
"060971534031",1234,508
"060971513071",1680,644
"060971513072",989,359
"060971513073",1310,464
"060971513074",1239,502
"060971513081",1972,770
"060971513082",1345,461
"060971513092",2496,913
"060971514031",2608,850
"060971514032",2324,923
"060971514041",2006,614
"060971514042",1284,360
"060971514051",1979,750
"060971514052",2424,869
"060971514053",1072,335
"060971514054",1280,424
"060971514061",2081,861
"060971514062",1588,593
"060971515032",1009,403
"060971515033",1309,509
"060971515041",1275,474
"060971515042",1204,462
"060971515043",1226,462
"060971515051",720,294
"060971515052",731,327
"060971515061",1564,786
"060971515062",695,292
"060971515063",988,469
"060971515064",2222,951
"060971517011",1921,773
"060971517012",1406,592
"060971518002",746,324
"060971518003",846,401
"060971518004",1689,683
"060971518005",625,285
"060971519001",566,278
"060971519002",762,329
"060971519003",727,340
"060971519004",866,494
"060971520001",1220,651
"060971520002",948,495
"060971522033",922,555
"060971530023",879,295
"060971531021",1330,343
"060971531022",1780,443
"060971531041",2147,665
"060971532012",2085,599
"060971532022",2117,527
"060971527011",841,400
"060971527012",1068,357
"060971527013",910,368
"060971527014",1230,437
"060971527015",1073,571
"060971527021",1196,423
"060971527022",1143,506
"060971527023",2081,947
"060971527024",587,195
"060971528011",1184,427
"060971528012",872,350
"060971528013",1076,399
"060971528014",1394,523
"060971528031",1095,408
"060971528032",1752,578
"060971528033",1317,494
"060971528041",1107,512
"060971528042",1700,838
"060971529031",784,301
"060971529032",2266,733
"060971529033",1018,262
"060971529034",1117,283
"060971529041",2076,855
"060971529042",750,279
"060971529043",1388,495
"060971529044",1152,426
"060971529051",1290,628
"060971529052",1424,545
"060971529053",1344,485
"060971529062",2913,1024
"060971529063",1169,446
"060971530011",1590,731
"060971530012",1926,641
"060971530013",1923,708
"060971530014",1958,826
"060971530064",2203,860
"060971530065",1009,339
"060971530066",1062,480
"060971538091",1734,620
"060971538092",1768,618
"060971517021",610,290
"060971517022",974,392
"060971517023",1314,540
"060971517024",978,561
"060971518001",1150,531
"060971521001",1237,262
"060971521002",724,299
"060971521003",843,396
"060971522011",857,436
"060971522012",1077,488
"060971522013",1108,506
"060971522014",797,386
"060971522031",788,375
"060971522032",787,425
"060971522034",1131,591
"060971522041",1845,884
"060971522042",1316,569
"060971522043",719,277
"060971522044",1223,618
"060971522051",774,310
"060971522052",1230,486
"060971523001",1228,524
"060971523002",970,436
"060971523003",1217,595
"060971523004",738,329
"060971524011",1850,762
"060971524012",1291,571
"060971524013",868,381
"060971524021",632,305
"060971524023",1422,652
"060971525011",1806,816
"060971525012",1464,555
"060971525013",1126,410
"060971525021",1313,541
"060971525022",1331,640
"060971525023",854,390
"060971526013",963,394
"060971526015",673,257
"060971524022",1364,771
"060971526011",794,359
"060971505011",612,337
"060971505012",1131,685
"060971505022",529,342
"060971515031",1128,515
"060971516013",1066,768
"060971516021",989,664
"060971516022",881,611
"060971516023",1342,800
"060971516011",602,445
"060971516012",1315,850
"060971526012",2645,984
"060971526014",1479,508
"060971526021",1163,630
"060552019001",531,341
"060552019002",607,347
"060552020001",1109,578
"060552020002",966,408
"060552020003",1734,680
"060552020004",1419,726
"060971538062",623,252
"060971538071",2335,836
"060971538072",1296,508
"060971538073",326,168
"060971538082",973,304
"060971538093",1008,404
"060971541004",585,341
"060552012001",838,485
"060552012003",1852,813
"060552013001",968,674
"060552013002",911,651
"060552013003",1557,23
"060552015001",973,632
"060552015002",730,428
"060552016011",1021,497
"060552016012",1240,588
"060552016021",897,497
"060552016022",502,258
"060552016023",583,346
"060552016024",1187,626
"060552017006",574,325
"060552014011",752,441
"060552014012",1164,626
"060552014031",697,363
"060552018002",846,431
"060552017001",665,323
"060552017002",1472,378
"060552017003",862,361
"060552017004",746,386
"060552017005",665,302
"060552018001",935,488
"060330011011",873,558
"060330011021",777,490
"060330011022",759,402
"060330013025",497,242
"060330012002",716,346
"060330012003",981,406
"060330012004",818,380
"060330013011",1769,738
"060330013012",1836,791
"060330013021",562,262
"060330013022",741,312
"060330013023",1191,522
"060330013024",1122,480
"060330005012",1834,987
"060330006011",1043,741
"060330006012",1299,910
"060330006021",756,623
"060330006022",331,456
"060330007041",1496,683
"060330007042",662,517
"060330008024",729,377
"060330009011",1252,854
"060330009012",1346,581
"060330009021",1734,1013
"060330009022",962,991
"060330009023",1422,640
"060330007021",2477,967
"060330007022",2253,936
"060330007031",1241,584
"060330007032",1175,655
"060330008011",1442,657
"060330008012",1514,748
"060330008021",1452,580
"060330008022",1143,542
"060330008023",1347,576
"060330012001",899,447
"060330007023",27,12
"061130115001",698,323
"060952529031",989,382
"060952529032",1058,391
"060952529033",1453,593
"060952529034",975,414
"060952529041",1684,635
"060952529042",1247,510
"060952529043",955,337
"060952529044",4592,1720
"060952529111",1852,977
"060952529112",1172,793
"060952529113",702,306
"060952529114",1344,971
"060952529121",1398,461
"060952529125",880,346
"060952531011",777,268
"060952531051",1480,606
"060952532011",1370,512
"060952532012",884,338
"060952532013",1229,504
"060952532014",1338,523
"060952532031",1647,650
"060952532032",1616,617
"060952532033",916,367
"060952532051",1155,384
"060952532052",811,269
"060952532053",1125,400
"060952532061",1703,585
"060952532062",1985,636
"060952532071",2332,847
"060952532081",988,347
"060952532082",1271,435
"060952532083",1420,488
"060952532084",1494,468
"061130113021",1103,348
"061130113022",0,0
"061130113023",2531,898
"061130113031",1446,570
"061130113041",1361,488
"061130113011",1226,453
"061130113012",853,290
"061130115003",2317,735
"061130115004",1101,391
"061130115005",846,254
"060952533001",1560,557
"060952533002",967,382
"060952534021",1490,513
"060952534022",893,314
"060952534023",966,315
"060952534024",3070,963
"060952534025",1962,782
"060952534031",1553,528
"060952534032",1009,389
"060952534033",2807,885
"060952534041",1224,460
"060952534042",1405,441
"060952534043",1243,443
"060952534044",1943,715
"061130104011",1309,502
"061130104014",1033,363
"061130104022",2528,800
"061130105011",1636,699
"061130105012",7060,983
"061130106073",820,340
"061130105051",469,199
"061130105054",1371,654
"061130105081",1276,555
"061130105082",1293,531
"061130105091",1505,616
"061130105092",2073,827
"061130105101",855,296
"061130105102",1840,888
"061130105103",1182,505
"061130105104",1031,422
"061130105111",1154,418
"061130105112",2179,897
"061130105121",1881,698
"061130105122",1441,535
"061130105131",848,365
"061130105132",2116,856
"061130106021",1165,693
"061130106022",1305,564
"061130106023",1039,398
"061130106024",1081,454
"061130106025",1007,495
"061130106082",2051,727
"061130106084",1361,503
"061130106092",1682,612
"061130106102",2597,1136
"061130106111",1673,651
"061130107011",1040,388
"061130107012",1992,1026
"061130107013",784,409
"061130107014",963,505
"061130107031",1161,477
"061130107032",1246,472
"061130107033",1944,520
"061130107034",1087,461
"061130107041",2275,958
"061130108001",1411,556
"061130108002",1472,516
"061130108003",941,320
"061130109011",2319,762
"061130109012",1207,457
"061130109013",2069,704
"061130109021",2246,876
"061130109022",2343,894
"061130109023",1796,666
"061130110011",2301,904
"061130110012",2223,883
"061130110013",2220,861
"061130110021",1091,545
"061130110022",1053,411
"061130110023",1100,459
"061130111011",1493,597
"061130111012",1429,544
"061130111021",1314,380
"061130111022",2056,701
"061130111023",1753,527
"061130111031",1796,641
"061130111032",1475,434
"061130112031",1552,603
"061130112032",1105,463
"061130112041",1762,643
"061130112042",1730,650
"061130112043",2215,734
"061130112071",930,354
"061130112072",1824,653
"061130112081",2401,837
"061130112082",4086,1298
"061130112091",2701,886
"061130112092",1336,404
"061130112101",1237,376
"061130112102",1501,461
"061130112111",1653,481
"060670071072",867,285
"061130101021",1401,565
"061130102031",1386,583
"061130103101",1129,331
"061130103103",930,270
"061130103104",2076,747
"061130104012",1074,451
"061130104013",1262,535
"061130105052",1913,725
"061130105053",2215,755
"061130106051",2384,838
"061130106052",1243,438
"061130106071",1367,644
"061130106072",951,351
"061130106074",1257,477
"061130106081",1504,576
"061130106083",759,336
"061130106091",893,342
"061130106101",1124,373
"061130112083",1156,354
"060110001001",523,206
"060110001002",891,344
"060110001003",2339,708
"060110001004",1636,529
"061130114001",1270,478
"061130115002",747,358
"061010504022",780,246
"061010509002",770,281
"061010510001",817,319
"061010510002",1420,508
"061130114002",1689,614
"061130114003",1093,408
"061150407012",1910,600
"061150407013",1839,586
"061150407021",2573,797
"060450103004",1238,573
"060450105003",959,578
"060450110031",868,430
"060450110032",562,365
"060450110033",1554,741
"060450110041",684,432
"060450110043",1017,717
"060459901000",0,0
"060450110011",956,654
"060450110012",1071,705
"060450112001",1543,771
"060450106012",1100,594
"060450110042",742,409
"060450102002",1213,764
"060450103001",714,365
"060450103002",588,340
"060450103003",968,481
"060450104001",660,279
"060450104002",581,337
"060450104003",852,435
"060450104004",1263,613
"060450105001",1209,530
"060450105002",823,330
"060450105004",580,264
"060450105005",762,291
